loan_id,customer_id,loan_purpose,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,disbursement_date,maturity_date,repayment_frequency,loan_status,num_payments_made,outstanding_balance,collateral_value,num_late_payments,penalty_charges,loan_officer_id,branch_code,insurance_taken,loan_duration_years,total_repayment,total_interest_paid,default_flag,ltv_ratio,risk_category,first_name,last_name,age,gender,marital_status,education_level,occupation,annual_income,monthly_expenses,credit_score,num_dependents,years_employed,city,state,phone_number,email,has_existing_loan,num_credit_cards,registration_date,income_tier,savings_ratio,age_group,emi_to_income_ratio,loan_to_income_ratio,repayment_progress_pct,remaining_balance_pct
LOAN000011,CUST00272,Personal,Secured,461695.99,16.47,180,6932.83,2019-09-13,2034-06-26,Monthly,Active,42,27152.06,383747.58,14.0,35463.36,LO153,BR44,False,15.0,1247909.4,786213.41,False,1.2031,Medium,Aditya,Shah,27,Female,Married,Bachelor'S,Designer,234822.91,53534.87,574.0,1,21.0,Delhi,Delhi,9506994931,kiran.bhat863@example.com,False,5,2015-12-26,Low,-1.7358,21-30,0.3543,1.9661,23.33,0.0588
LOAN000012,CUST01067,Home,Unsecured,192667.76,12.81,120,2855.19,2023-03-12,2033-01-18,Bi-Annual,Active,62,150371.03,247886.4,11.0,47564.19,LO129,BR35,True,10.0,342622.8,149955.04,False,0.7772,Medium,Ananya,Rao,51,Female,Married,Bachelor'S,Manager,159365.0,36930.46,568.0,0,37.0,Ahmedabad,Gujarat,9721660320,lakshmi.shah199@example.com,True,6,2022-04-06,Low,-1.7808,51-60,0.215,1.209,51.67,0.7805
LOAN000013,CUST01492,Home,Unsecured,106403.89,14.14,48,2915.12,2018-11-19,2022-10-29,Monthly,Active,72,7847.19,140897.62,3.0,22496.39,LO172,BR24,True,4.0,139925.76,33521.87,False,0.7552,Low,Kiran,Nair,32,Female,Married,Master'S,Professor,86502.26,10941.4,710.0,1,9.0,Kolkata,West Bengal,9289165396,amit.kumar195@example.com,True,7,2023-02-20,Low,-0.5178,31-40,0.4044,1.2301,150.0,0.0737
LOAN000014,CUST00319,Education,Secured,343813.72,17.26,48,9967.07,2019-01-18,2022-12-28,Monthly,Defaulted,185,185664.22,106093.09,2.0,6843.34,LO116,BR35,True,4.0,478419.36,134605.64,True,3.2407,High,Naveen,Patel,34,Female,Single,Master'S,Analyst,322223.68,56343.17,754.0,2,14.0,Pune,Maharashtra,9997969776,sunita.mishra805@example.com,False,7,2024-05-03,Lower-Mid,-1.0983,31-40,0.3712,1.067,385.42,0.54
LOAN000015,CUST00527,Home,Secured,263287.71,21.26,60,7161.38,2020-08-06,2025-07-11,Quarterly,Active,116,73070.89,263070.05,4.0,33447.44,LO168,BR41,False,5.0,429682.8,166395.09,False,1.0008,Low,Harish,Patel,53,Male,Married,High School,Engineer,76079.48,10378.57,536.0,4,35.0,Delhi,Delhi,9260610323,rohan.singh727@example.com,False,2,2021-11-29,Low,-0.637,51-60,1.1296,3.4607,193.33,0.2775
LOAN000016,CUST00760,Vehicle,Unsecured,347236.42,11.08,60,7563.62,2020-06-02,2025-05-07,Bi-Annual,Closed,47,317730.62,548965.12,16.0,48005.12,LO131,BR39,False,5.0,453817.2,106580.78,False,0.6325,Medium,Swati,Iyer,21,Male,Married,Bachelor'S,Designer,59089.1,14658.18,444.0,2,38.0,Kolkata,West Bengal,9241489248,divya.sharma742@example.com,False,0,2016-05-08,Low,-1.9768,21-30,1.536,5.8765,78.33,0.915
LOAN000017,CUST01196,Medical,Secured,108405.63,10.32,12,9546.72,2019-07-31,2020-07-25,Monthly,Active,4,48926.84,96109.5,4.0,34860.3,LO199,BR28,True,1.0,114560.64,6155.01,False,1.1279,Low,Deepak,Shah,64,Female,Single,Master'S,Designer,102371.67,17049.21,597.0,4,20.0,Ahmedabad,Gujarat,9459821251,kavya.verma721@example.com,True,5,2020-12-12,Low,-0.9985,60+,1.1191,1.0589,33.33,0.4513
LOAN000018,CUST00321,Education,Secured,347957.79,15.83,180,5069.28,2019-10-22,2034-08-04,Monthly,Closed,218,312627.32,115385.91,3.0,40166.06,LO152,BR38,False,15.0,912470.4,564512.61,False,3.0156,Low,Amit,Rao,68,Male,Single,Master'S,Professor,102811.46,18138.25,895.0,3,16.0,Bengaluru,Karnataka,9806437569,swati.sharma949@example.com,False,6,2016-07-03,Low,-1.1171,60+,0.5917,3.3844,121.11,0.8985
LOAN000019,CUST00739,Personal,Unsecured,516912.19,8.53,60,10612.72,2023-08-17,2028-07-21,Bi-Annual,Active,75,154598.66,323811.31,6.0,21137.44,LO186,BR20,True,5.0,636763.2,119851.01,False,1.5963,Medium,Pooja,Nair,29,Female,Divorced,Bachelor'S,Designer,102371.67,17895.47,597.0,0,20.0,Hyderabad,Telangana,9805375110,vikram.mishra205@example.com,False,0,2022-06-22,Low,-1.0977,21-30,1.244,5.0494,125.0,0.2991
LOAN000020,CUST01068,Business,Secured,80441.82,15.53,36,2809.47,2023-10-16,2026-09-30,Bi-Annual,Closed,34,31160.15,34168.4,6.0,4823.16,LO174,BR21,False,3.0,101140.92,20699.1,False,2.3543,Medium,Kiran,Bhat,69,Female,Single,Bachelor'S,Accountant,87770.74,12446.23,714.0,5,21.0,Delhi,Delhi,9486749612,rahul.singh782@example.com,False,2,2018-03-01,Low,-0.7016,60+,0.3841,0.9165,94.44,0.3874
LOAN000021,CUST00454,Personal,Unsecured,863140.95,7.88,36,26999.94,2023-11-14,2026-10-29,Bi-Annual,Active,92,754642.8625,217196.42,6.0,8444.1,LO185,BR35,False,3.0,971997.84,108856.89,False,3.974,Medium,Divya,Mishra,48,Male,Divorced,Bachelor'S,Designer,102371.67,12115.73,597.0,3,20.0,Hyderabad,Telangana,9648973579,sneha.bhat401@example.com,True,1,2019-04-01,Low,-0.4202,41-50,3.1649,8.4314,255.56,0.8743
LOAN000022,CUST00746,Home,Unsecured,328928.02,14.1,48,9004.95,2021-10-30,2025-10-09,Monthly,Active,143,66217.96,248394.03,16.0,49132.74,LO117,BR28,True,4.0,432237.6,103309.58,False,1.3242,Medium,Amit,Reddy,33,Female,Divorced,Phd,Lawyer,89076.47,12133.73,601.0,3,30.0,Ahmedabad,Gujarat,9757611451,arjun.kumar841@example.com,False,4,2024-01-31,Low,-0.6346,31-40,1.2131,3.6926,297.92,0.2013
LOAN000023,CUST00929,Education,Secured,530065.35,16.12,120,8918.97,2023-01-07,2032-11-15,Quarterly,Defaulted,82,306643.42,573463.12,14.0,24659.22,LO177,BR10,True,10.0,1070276.4,540211.05,True,0.9243,High,Lakshmi,Verma,65,Male,Married,Bachelor'S,Teacher,148754.28,19028.11,598.0,0,9.0,Kolkata,West Bengal,9936156197,priya.verma534@example.com,False,1,2019-04-23,Low,-0.535,60+,0.7195,3.5634,68.33,0.5785
LOAN000024,CUST00848,Medical,Unsecured,96457.28,7.59,60,1936.93,2019-06-22,2024-05-26,Monthly,Closed,176,37474.65,14034.83,6.0,601.03,LO133,BR44,False,5.0,116215.8,19758.52,False,6.8727,Medium,Deepak,Malhotra,25,Female,Married,High School,Accountant,105759.34,14125.37,578.0,1,14.0,Mumbai,Maharashtra,9543502646,ravi.nair600@example.com,False,3,2024-12-12,Low,-0.6027,21-30,0.2198,0.912,293.33,0.3885
LOAN000025,CUST00868,Medical,Secured,463271.24,9.71,12,40666.44,2021-10-20,2022-10-15,Monthly,Active,59,358649.25,559468.0,14.0,47768.36,LO136,BR31,False,1.0,487997.28,24726.04,False,0.8281,Medium,Suresh,Mehta,36,Male,Single,Bachelor'S,Businessman,32917.68,5691.37,766.0,5,18.0,Chennai,Tamil Nadu,9752759821,rahul.bhat439@example.com,True,0,2018-11-05,Low,-1.0748,31-40,14.8248,14.0736,491.67,0.7742
LOAN000026,CUST00774,Home,Unsecured,71990.29,11.7,60,1590.49,2021-04-06,2026-03-11,Monthly,Active,106,9308.08,142976.23,19.0,24889.0,LO143,BR39,True,5.0,95429.4,23439.11,False,0.5035,Medium,Ravi,Patel,54,Male,Married,Bachelor'S,Professor,107484.41,22211.65,570.0,2,12.0,Delhi,Delhi,9245226262,aditya.malhotra957@example.com,False,5,2019-04-07,Low,-1.4798,51-60,0.1776,0.6698,176.67,0.1293
LOAN000027,CUST00083,Education,Unsecured,125668.49,12.21,60,2808.78,2022-01-15,2026-12-20,Monthly,Active,116,54944.14,242320.25,3.0,41813.42,LO140,BR21,False,5.0,168526.8,42858.31,False,0.5186,Low,Deepak,Iyer,41,Male,Single,Bachelor'S,Professor,32909.31,6417.58,752.0,4,22.0,Pune,Maharashtra,9120825650,rohan.reddy229@example.com,False,4,2022-08-08,Low,-1.3401,41-50,1.0242,3.8186,193.33,0.4372
LOAN000028,CUST00543,Business,Secured,331271.63,16.98,84,6765.97,2022-10-31,2029-09-24,Quarterly,Closed,50,231536.55,549363.3,1.0,27422.91,LO115,BR16,True,7.0,568341.48,237069.85,False,0.603,Low,Harish,Mishra,66,Male,Single,Bachelor'S,Lawyer,38225.02,5349.68,538.0,3,20.0,Jaipur,Rajasthan,9338462628,naveen.gupta8@example.com,False,3,2020-12-03,Low,-0.6794,60+,2.124,8.6664,59.52,0.6989
LOAN000029,CUST00322,Personal,Unsecured,215182.09,14.7,120,3432.21,2018-06-13,2028-04-21,Quarterly,Closed,126,87582.6,114623.67,12.0,5085.11,LO110,BR34,False,10.0,411865.2,196683.11,False,1.8773,Medium,Kavya,Singh,40,Male,Married,Diploma,Teacher,125500.96,18857.6,894.0,4,6.0,Ahmedabad,Gujarat,9626036464,aditya.mehta234@example.com,False,5,2021-10-02,Low,-0.8031,31-40,0.3282,1.7146,105.0,0.407
LOAN000030,CUST00786,Business,Unsecured,274305.5,12.42,60,6160.15,2022-05-07,2027-04-11,Monthly,Active,90,16055.58,12293.05,11.0,30778.48,LO152,BR47,True,5.0,369609.0,95303.5,False,22.3139,Medium,Rohan,Rao,58,Male,Single,Master'S,Lawyer,89183.33,14044.51,510.0,2,14.0,Hyderabad,Telangana,9227117388,amit.iyer16@example.com,True,6,2020-09-19,Low,-0.8897,51-60,0.8289,3.0757,150.0,0.0585
LOAN000031,CUST01258,Education,Unsecured,1254075.84,13.49,24,42831.4725,2020-09-06,2022-08-27,Monthly,Active,81,754642.8625,1522081.7899999998,9.0,49870.01,LO153,BR36,False,2.0,1027955.34,-226120.5,False,0.8239,Medium,Kavya,Patel,48,Female,Married,Bachelor'S,Manager,68228.85,10799.16,464.0,1,6.0,Lucknow,Uttar Pradesh,9140152609,nisha.gupta8@example.com,False,5,2023-11-25,Low,-0.8993,41-50,7.5331,18.3804,337.5,0.6018
LOAN000032,CUST00540,Wedding,Secured,270885.49,6.7,24,12091.43,2020-05-05,2022-04-25,Monthly,Active,58,136309.13,30187.6,18.0,1736.89,LO164,BR36,False,2.0,290194.32,19308.83,False,8.9734,Medium,Ananya,Sharma,33,Male,Single,Phd,Manager,179635.96,33745.99,683.0,5,26.0,Delhi,Delhi,9717675194,rahul.patel470@example.com,False,4,2022-06-01,Low,-1.2543,31-40,0.8077,1.508,241.67,0.5032
LOAN000033,CUST00252,Business,Secured,473430.96,18.44,48,14016.12,2018-11-04,2022-10-14,Quarterly,Active,63,5353.88,194701.4,14.0,42089.71,LO118,BR36,False,4.0,672773.76,199342.8,False,2.4316,Medium,Arjun,Dubey,23,Female,Divorced,Master'S,Engineer,156509.86,33492.92,410.0,1,32.0,Bengaluru,Karnataka,9602935000,pooja.bhat810@example.com,True,4,2017-04-29,Low,-1.568,21-30,1.0747,3.0249,131.25,0.0113
LOAN000034,CUST00836,Home,Unsecured,254380.7,7.14,12,22027.16,2019-09-17,2020-09-11,Monthly,Active,104,155847.84,276996.78,16.0,11774.04,LO173,BR22,False,1.0,264325.92,9945.22,False,0.9184,Medium,Divya,Singh,38,Male,Single,Bachelor'S,Professor,79409.29,11113.7,705.0,4,6.0,Chennai,Tamil Nadu,9516032315,ananya.reddy780@example.com,False,3,2023-09-25,Low,-0.6795,31-40,3.3287,3.2034,866.67,0.6127
LOAN000035,CUST00449,Personal,Secured,248424.0,19.35,120,4694.36,2024-05-11,2034-03-20,Monthly,Closed,140,228520.52,88626.77,5.0,19693.31,LO163,BR50,False,10.0,563323.2,314899.2,False,2.803,Low,Pooja,Patel,62,Male,Single,Bachelor'S,Nurse,147294.35,35740.88,841.0,3,39.0,Lucknow,Uttar Pradesh,9982551268,aditya.rao618@example.com,False,3,2022-12-31,Low,-1.9118,60+,0.3824,1.6866,116.67,0.9199
LOAN000036,CUST01263,Home,Secured,122686.27,14.89,12,11067.09,2023-07-31,2024-07-25,Monthly,Closed,221,13621.36,204588.76,4.0,18635.48,LO180,BR11,True,1.0,132805.08,10118.81,False,0.5997,Low,Sunita,Tiwari,40,Male,Divorced,High School,Professor,28451.25,5830.18,463.0,0,25.0,Jaipur,Rajasthan,9643307666,pooja.bhat780@example.com,True,4,2022-05-02,Low,-1.459,31-40,4.6678,4.3122,1841.67,0.111
LOAN000037,CUST00490,Personal,Secured,360229.92,14.68,36,12431.11,2019-02-03,2022-01-18,Bi-Annual,Active,153,212777.45,559912.35,12.0,44939.86,LO198,BR49,True,3.0,447519.96,87290.04,False,0.6434,Medium,Deepak,Joshi,25,Male,Single,Bachelor'S,Designer,124264.44,30949.5,347.0,2,22.0,Hyderabad,Telangana,9979947812,priya.tiwari291@example.com,True,2,2023-08-23,Low,-1.9887,21-30,1.2005,2.8989,425.0,0.5907
LOAN000038,CUST00464,Vehicle,Unsecured,1408858.46,17.42,120,35996.72,2018-03-03,2028-01-10,Monthly,Defaulted,69,754642.8625,1522081.7899999998,13.0,25224.31,LO125,BR24,True,10.0,4319606.4,2910747.94,True,0.9256,High,Ravi,Mehta,54,Other,Married,Bachelor'S,Doctor,46542.68,9483.91,632.0,2,33.0,Mumbai,Maharashtra,9248614668,naveen.reddy112@example.com,False,0,2017-10-17,Low,-1.4452,51-60,9.281,30.2702,57.5,0.5356
LOAN000039,CUST00314,Education,Unsecured,287877.52,19.82,84,6361.5,2019-08-08,2026-07-02,Monthly,Active,130,20374.15,469889.59,13.0,22358.71,LO123,BR18,True,7.0,534366.0,246488.48,False,0.6126,Medium,Sneha,Bhat,61,Male,Married,Bachelor'S,Professor,143997.24,22825.95,684.0,5,15.0,Chennai,Tamil Nadu,9305746804,suresh.pillai514@example.com,False,6,2015-05-31,Low,-0.9022,60+,0.5301,1.9992,154.76,0.0708
LOAN000040,CUST01199,Vehicle,Unsecured,216726.96,21.11,120,4349.09,2021-06-21,2031-04-30,Bi-Annual,Closed,214,4901.38,95230.6,14.0,40901.26,LO158,BR49,False,10.0,521890.8,305163.84,False,2.2758,Medium,Sunita,Malhotra,24,Female,Single,Master'S,Professor,204548.79,50111.07,415.0,0,6.0,Mumbai,Maharashtra,9974204752,sachin.singh499@example.com,False,7,2017-01-12,Low,-1.9398,21-30,0.2551,1.0595,178.33,0.0226
LOAN000041,CUST01204,Education,Secured,668046.09,14.92,60,15864.73,2024-02-20,2029-01-24,Monthly,Defaulted,11,310104.23,973867.4,15.0,2445.36,LO101,BR49,True,5.0,951883.8,283837.71,True,0.686,High,Kavya,Malhotra,69,Female,Married,Master'S,Designer,102371.67,6316.43,597.0,4,20.0,Ahmedabad,Gujarat,9659498114,rekha.iyer462@example.com,False,7,2022-09-15,Low,0.2596,60+,1.8597,6.5257,18.33,0.4642
LOAN000042,CUST00385,Business,Secured,608189.75,8.84,180,6110.91,2018-12-24,2033-10-06,Monthly,Active,40,481191.63,432157.14,9.0,4322.82,LO121,BR42,True,15.0,1099963.8,491774.05,False,1.4073,Medium,Sachin,Iyer,42,Female,Single,Phd,Designer,164874.56,28767.86,426.0,5,31.0,Jaipur,Rajasthan,9922790554,kiran.mehta805@example.com,True,0,2018-09-11,Low,-1.0938,41-50,0.4448,3.6888,22.22,0.7912
LOAN000043,CUST00295,Personal,Secured,381263.46,14.13,84,8493.98,2023-08-06,2030-06-30,Monthly,Active,104,61276.44,223473.25,9.0,25120.02,LO115,BR15,False,7.0,713494.32,332230.86,False,1.7061,Medium,Rohan,Gupta,31,Female,Married,Master'S,Consultant,69231.97,10826.72,551.0,3,3.0,Hyderabad,Telangana,9758245879,suresh.rao419@example.com,False,5,2020-12-27,Low,-0.8766,31-40,1.4723,5.507,123.81,0.1607
LOAN000044,CUST01239,Business,Secured,209673.1,7.13,48,5033.54,2019-01-21,2022-12-31,Quarterly,Active,206,175420.33,51169.35,10.0,34399.15,LO153,BR48,False,4.0,241609.92,31936.82,False,4.0976,Medium,Sachin,Nair,27,Male,Widowed,Master'S,Doctor,112593.47,15903.63,764.0,5,3.0,Ahmedabad,Gujarat,9437691152,nisha.shah490@example.com,True,7,2021-06-24,Low,-0.695,21-30,0.5365,1.8622,429.17,0.8366
LOAN000045,CUST00986,Home,Unsecured,670341.1,19.01,12,42831.4725,2023-02-06,2024-02-01,Monthly,Closed,64,440130.72,945967.37,6.0,26280.81,LO133,BR46,False,1.0,513977.67,-156363.43,False,0.7086,Medium,Ananya,Kumar,42,Female,Single,Phd,Manager,144455.12,24076.22,667.0,4,29.0,Ahmedabad,Gujarat,9155094221,rohan.verma387@example.com,False,6,2018-11-24,Low,-1.0,41-50,3.558,4.6405,533.33,0.6566
LOAN000046,CUST00762,Personal,Secured,295594.54,17.05,24,14621.97,2021-07-08,2023-06-28,Monthly,Active,62,98188.61,574699.47,16.0,43801.11,LO197,BR36,True,2.0,350927.28,55332.74,False,0.5143,Medium,Sneha,Verma,52,Female,Single,Bachelor'S,Nurse,269510.61,60899.85,546.0,0,29.0,Pune,Maharashtra,9800587168,amit.shah46@example.com,True,3,2019-07-02,Low,-1.7116,51-60,0.651,1.0968,258.33,0.3322
LOAN000047,CUST00769,Personal,Unsecured,557383.24,20.52,84,12552.47,2019-11-27,2026-10-21,Monthly,Closed,177,287512.65,48604.23,3.0,24926.65,LO170,BR11,True,7.0,1054407.48,497024.24,False,11.4678,Low,Pooja,Malhotra,42,Male,Married,Phd,Analyst,19371.06,2831.32,388.0,1,6.0,Mumbai,Maharashtra,9248294102,vikram.verma576@example.com,True,7,2021-11-30,Low,-0.7539,41-50,7.776,28.774,210.71,0.5158
LOAN000048,CUST01099,Personal,Unsecured,139324.64,20.41,48,4270.19,2021-04-25,2025-04-04,Bi-Annual,Active,174,134528.39,26145.36,6.0,11090.98,LO191,BR30,False,4.0,204969.12,65644.48,False,5.3288,Medium,Swati,Shah,45,Female,Divorced,Bachelor'S,Nurse,58729.19,7881.58,616.0,2,23.0,Bengaluru,Karnataka,9883540031,ravi.verma693@example.com,False,2,2015-03-26,Low,-0.6104,41-50,0.8725,2.3723,362.5,0.9656
LOAN000049,CUST00344,Personal,Unsecured,167817.45,7.32,36,5206.3,2019-10-24,2022-10-08,Monthly,Active,7,36321.9,41496.81,2.0,40257.37,LO160,BR49,False,3.0,187426.8,19609.35,False,4.0441,Low,Sunita,Pillai,48,Male,Married,Master'S,Consultant,293379.89,57475.04,396.0,5,9.0,Jaipur,Rajasthan,9487541399,vikram.tiwari619@example.com,False,3,2019-10-09,Low,-1.3509,41-50,0.213,0.572,19.44,0.2164
LOAN000050,CUST00142,Personal,Unsecured,289961.67,15.95,120,4848.21,2018-10-07,2028-08-15,Monthly,Active,158,144846.12,249694.06,19.0,14716.19,LO195,BR25,True,10.0,581785.2,291823.53,False,1.1613,Medium,Naveen,Mehta,59,Female,Single,Master'S,Designer,102371.67,40317.25,597.0,3,20.0,Delhi,Delhi,9313867761,sachin.rao933@example.com,False,3,2024-06-09,Low,-3.726,51-60,0.5683,2.8324,131.67,0.4995
LOAN000051,CUST00718,Wedding,Unsecured,99890.93,8.43,120,1234.77,2021-02-21,2030-12-31,Monthly,Active,10,62380.54,58092.61,13.0,46784.49,LO112,BR20,False,10.0,148172.4,48281.47,False,1.7195,Medium,Deepak,Mishra,32,Female,Married,Master'S,Lawyer,143117.65,25818.36,883.0,3,10.0,Lucknow,Uttar Pradesh,9834773724,kavya.reddy734@example.com,True,1,2020-05-20,Low,-1.1648,31-40,0.1035,0.698,8.33,0.6245
LOAN000052,CUST01223,Home,Secured,199601.7,7.72,24,9001.98,2024-06-19,2026-06-09,Monthly,Defaulted,16,27547.95,322125.27,17.0,12521.19,LO116,BR46,False,2.0,216047.52,16445.82,True,0.6196,High,Divya,Mehta,21,Male,Divorced,Bachelor'S,Consultant,50970.53,8927.11,603.0,0,20.0,Bengaluru,Karnataka,9133471933,amit.shah640@example.com,False,0,2024-08-30,Low,-1.1017,21-30,2.1193,3.916,66.67,0.138
LOAN000053,CUST01195,Business,Unsecured,96410.35,13.45,180,1248.51,2022-01-28,2036-11-10,Monthly,Defaulted,154,4195.98,91355.99,17.0,8386.03,LO104,BR50,False,15.0,224731.8,128321.45,True,1.0553,High,Nisha,Singh,32,Male,Married,Bachelor'S,Accountant,378452.49,69205.51,674.0,1,8.0,Mumbai,Maharashtra,9676564508,naveen.sharma191@example.com,True,2,2019-10-22,Lower-Mid,-1.1944,31-40,0.0396,0.2547,85.56,0.0435
LOAN000054,CUST00406,Personal,Unsecured,77979.23,8.01,12,6783.65,2021-12-18,2022-12-13,Quarterly,Active,123,1049.6,75567.7,0.0,24666.2,LO155,BR40,False,1.0,81403.8,3424.57,False,1.0319,Low,Sachin,Malhotra,27,Male,Married,High School,Designer,94860.79,12229.94,538.0,1,38.0,Bengaluru,Karnataka,9575680693,divya.patel874@example.com,True,3,2020-11-26,Low,-0.5471,21-30,0.8581,0.822,1025.0,0.0135
LOAN000055,CUST00228,Personal,Unsecured,1408858.46,17.78,120,33676.68,2019-01-01,2028-11-09,Quarterly,Active,94,611651.86,1522081.7899999998,5.0,2525.76,LO103,BR15,False,10.0,4041201.6,2632343.14,False,0.9256,Low,Nisha,Mishra,26,Female,Widowed,Phd,Consultant,252814.63,45191.76,561.0,3,4.0,Ahmedabad,Gujarat,9307194917,kavya.sharma904@example.com,False,5,2019-07-19,Low,-1.1451,21-30,1.5985,5.5727,78.33,0.4341
LOAN000056,CUST00411,Vehicle,Secured,164854.77,21.52,12,15391.42,2018-10-19,2019-10-14,Monthly,Active,154,12190.56,119344.63,8.0,1820.59,LO188,BR33,False,1.0,184697.04,19842.27,False,1.3813,Medium,Sneha,Bhat,28,Male,Single,Master'S,Lawyer,174444.86,34825.48,616.0,1,36.0,Chennai,Tamil Nadu,9499130788,arjun.sharma592@example.com,False,3,2024-03-18,Low,-1.3956,21-30,1.0588,0.945,1283.33,0.0739
